City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,avarua,-21.2078,-159.775,78.85,65,40,12.66,CK,1633652118
116,lata,40.1629,-8.3327,61.81,64,12,3.22,PT,1633652118
117,petropavlovsk-kamchatskiy,53.0452,158.6483,45.19,53,75,4.47,RU,1633652119
118,gurh,24.5167,81.5167,77.36,70,76,3.22,IN,1633652119
119,labelle,26.7617,-81.4384,82.98,75,97,6.35,US,1633652120
120,chegdomyn,51.1167,133.0167,40.23,75,83,5.21,RU,1633652120
121,kaifeng,34.7911,114.3483,54.7,90,100,6.78,CN,1633652121
122,sambava,-14.2667,50.1667,71.85,78,86,7.2,MG,1633652123
123,sao joao da barra,-21.6403,-41.0511,71.47,90,98,17.18,BR,1633652124
124,anlu,31.1661,112.5831,58.57,80,93,10.38,CN,1633652124
125,sitka,57.0531,-135.33,48.09,76,90,9.22,US,1633651963
126,tabuk,17.4189,121.4443,77.65,87,100,0.47,PH,1633652125
127,meulaboh,4.1363,96.1285,74.75,86,100,3.13,ID,1633652125
128,jamestown,42.097,-79.2353,71.24,77,20,1.01,US,1633651722
129,vavoua,7.3819,-6.4778,71.64,98,72,2.89,CI,1633652126
130,sistranda,63.7256,8.834,50.9,90,100,6.04,NO,1633652126
131,kuhdasht,33.535,47.6061,60.21,28,0,2.89,IR,1633652127
132,tolaga bay,-38.3667,178.3,66.69,61,42,8.59,NZ,1633652127
133,koppal,15.35,76.15,73.53,90,93,7.34,IN,1633652128
134,shuangcheng,45.35,126.2833,46.08,54,47,2.86,CN,1633652128
135,half moon bay,37.4636,-122.4286,68.72,69,90,9.22,US,1633652129
136,missoula,47.0166,-113.8009,49.84,56,94,3.56,US,1633652129
137,hasaki,35.7333,140.8333,77.29,77,55,14.16,JP,1633652130
138,kahului,20.8947,-156.47,82.42,69,40,21.85,US,1633652130
139,belawan,3.7755,98.6832,77.29,90,100,4.74,ID,1633652131
140,nanortalik,60.1432,-45.2371,38.89,63,100,3.06,GL,1633652131
141,sioux lookout,50.1001,-91.917,68.07,68,75,6.91,CA,1633652131
142,isiro,2.7739,27.616,66.88,98,100,2.75,CD,1633652132
143,itaituba,-4.2761,-55.9836,74.61,90,96,1.59,BR,1633652132
144,schwandorf,49.3262,12.1093,51.93,81,84,5.44,DE,1633652133
145,bonavista,48.6499,-53.1147,51.12,63,94,7.92,CA,1633652133
146,saint-augustin,51.226,-58.6502,43.21,58,86,10.96,CA,1633652134
147,bethanien,-26.502,17.1583,55.56,30,1,1.88,NA,1633652134
148,moron,-34.6534,-58.6198,56.01,52,1,1.99,AR,1633652135
149,cherskiy,68.75,161.3,9.59,93,70,3.65,RU,1633652135
150,mahebourg,-20.4081,57.7,68.29,94,75,8.05,MU,1633652136
151,tazovskiy,67.4667,78.7,40.37,93,100,17.47,RU,1633652137
152,beringovskiy,63.05,179.3167,32.77,95,100,9.37,RU,1633652137
153,merauke,-8.4667,140.3333,79.84,84,99,7.67,ID,1633652138
154,ulladulla,-35.35,150.4667,63.77,53,70,7.81,AU,1633652138
155,dauriya,49.9333,116.8667,41.0,62,96,10.27,RU,1633652138
156,qandala,11.472,49.8728,83.7,79,12,4.41,SO,1633652139
157,sao filipe,14.8961,-24.4956,79.57,80,19,4.36,CV,1633651587
158,klaksvik,62.2266,-6.589,52.72,89,86,23.82,FO,1633652140
159,lorengau,-2.0226,147.2712,84.65,68,31,8.88,PG,1633651993
160,coihaique,-45.5752,-72.0662,51.75,58,0,3.44,CL,1633652140
161,hemnesberget,66.2333,13.6333,42.58,94,88,4.34,NO,1633652141
162,krasnokholm,51.5979,54.1567,38.75,57,9,4.12,RU,1633652141
163,parry sound,45.3501,-80.033,64.22,88,59,2.84,CA,1633652142
164,vostok,46.4856,135.8833,46.56,68,20,5.66,RU,1633652142
165,chukhloma,58.7525,42.6825,36.28,84,0,6.73,RU,1633652143
166,tiksi,71.6872,128.8694,27.57,89,100,14.14,RU,1633652143
167,vila franca do campo,37.7167,-25.4333,69.19,88,83,6.13,PT,1633652144
168,pevek,69.7008,170.3133,23.77,82,93,5.53,RU,1633652144
169,vila velha,-20.3297,-40.2925,75.15,78,40,12.66,BR,1633652068
